,id_barrio,Distritos,Barrios,Locales,Locscenso,Censo-2021,Censo-2019,D-Censo,censo,Abstención-2021,Abstención-2019,D-Abs,Blanco-2021,Blanco-2019,D-Blc,Nulos-2021,Nulos-2019,D-Nulos,PP-2021,PP-2019,D-PP,VarPP,VarPPcenso,VarPPlocales,anterior,PSOE-2021,PSOE-2019,D-PSOE,VarPSOE,VarPSOEcenso,VOX-2021,VOX-2019,D-VOX,VarVOX,VarVOXcenso,MAS MADRID-2021,MAS MADRID-2019,D-MÁS MADRID,VarMM,VarMMcenso,PODEMOS-IU-2021,PODEMOS-IU-2019,D-PODEMOS-IU,VarPiU,VarPiUcenso,Cs-2021,Cs-2019,D-Cs,VarCs,VarCscenso
0,11, Centro, Palacio,671,0.03851010101010101,17424,17453,-29,17,4160,5186,-1026,67,48,19,45,52,-7,4740,2294,2446,106.6259808195292,14.038108356290174,3.645305514157973,PSOE,2089,3201,-1112,-34.73914401749453,-6.382001836547291,851,777,74,9.523809523809524,0.4247015610651974,3398,3251,147,4.521685635189172,0.8436639118457301,1521,827,694,83.91777509068923,3.9830119375573925,435,1696,-1261,-74.35141509433963,-7.237144168962351
1,12, Centro, Embajadores,600,0.019646365422396856,30540,30596,-56,30,8812,10449,-1637,63,87,-24,73,59,14,5751,2528,3223,127.49208860759494,10.553372626064178,5.371666666666667,PSOE,3264,5159,-1895,-36.731924791626284,-6.20497707924034,1061,1003,58,5.782652043868395,0.1899148657498363,6932,6626,306,4.618170842137036,1.0019646365422397,3835,2335,1500,64.23982869379014,4.911591355599214,575,2145,-1570,-73.1934731934732,-5.140798952193844
2,13, Centro, Cortes,519,0.06978620411456232,7437,7518,-81,7,1795,2352,-557,25,40,-15,24,18,6,2224,1038,1186,114.25818882466281,15.947290574156245,2.285163776493256,PSOE,820,1281,-461,-35.987509758001565,-6.198736049482318,355,318,37,11.635220125786164,0.4975124378109453,1393,1266,127,10.031595576619273,1.7076778270808124,494,357,137,38.37535014005603,1.8421406481107974,205,791,-586,-74.08343868520859,-7.8795213123571335
3,14, Centro, Justicia,567,0.044432254525507406,12761,12511,250,12,3283,4058,-775,48,39,9,18,14,4,4336,1958,2378,121.45045965270684,18.634903220750726,4.194003527336861,PSOE,1282,2078,-796,-38.3060635226179,-6.237755661781992,701,638,63,9.87460815047022,0.4936917169500823,1947,1689,258,15.2753108348135,2.0217851265574796,665,358,307,85.75418994413407,2.4057675730742107,414,1575,-1161,-73.71428571428571,-9.09803306950866
4,15, Centro, Universidad,721,0.03078302450687388,23422,23188,234,23,6200,7449,-1249,84,58,26,85,48,37,6203,2768,3435,124.09682080924856,14.665698915549482,4.764216366158114,PSOE,2607,4009,-1402,-34.97131454227987,-5.98582529246008,881,886,-5,-0.5643340857787811,-0.021347451114336946,4677,4399,278,6.319618095021595,1.1869182819571344,1911,1024,887,86.62109375,3.7870378276833745,634,2390,-1756,-73.47280334728033,-7.497224831355136
5,16, Centro, Sol,550,0.10752688172043011,5115,5035,80,5,1450,1822,-372,19,23,-4,13,10,3,1493,660,833,126.21212121212122,16.285434995112414,1.5145454545454546,PSOE,511,745,-234,-31.409395973154364,-4.574780058651026,298,257,41,15.953307392996107,0.801564027370479,826,765,61,7.973856209150326,1.1925708699902249,339,179,160,89.3854748603352,3.1280547409579667,133,547,-414,-75.68555758683729,-8.093841642228739
6,21, Arganzuela, Imperial,124,0.006818056853796668,18187,18449,-262,18,3368,4372,-1004,74,74,0,49,47,2,6303,3092,3211,103.84864165588617,17.655468191565404,25.89516129032258,PSOE,2198,3501,-1303,-37.21793773207655,-7.164458129433111,1093,1103,-10,-0.9066183136899365,-0.05498432946610217,3150,2710,440,16.236162361623617,2.419310496508495,1224,749,475,63.417890520694264,2.6117556496398526,644,2687,-2043,-76.0327502791217,-11.233298509924673
7,22, Arganzuela, Acacias,192,0.006447280053727334,29780,30202,-422,29,5349,6876,-1527,123,91,32,91,62,29,10047,5004,5043,100.77937649880096,16.934184016118202,26.265625,PSOE,3982,6206,-2224,-35.83628746374477,-7.468099395567494,1511,1525,-14,-0.9180327868852459,-0.04701141705842848,5431,4600,831,18.065217391304348,2.790463398253862,2061,1271,790,62.15578284815106,2.6527871054398924,1029,4372,-3343,-76.46386093321135,-11.225654801880456
8,23, Arganzuela, Chopera,124,0.008107224583197124,15295,15441,-146,15,3542,4666,-1124,52,41,11,50,43,7,4431,2321,2110,90.9090909090909,13.795357960117686,17.016129032258064,PSOE,1952,2927,-975,-33.31055688418176,-6.374632232755803,714,644,70,10.869565217391305,0.4576659038901602,2826,2363,463,19.593736775285652,3.027133050016345,1262,747,515,68.94243641231593,3.3671134357633212,381,1586,-1205,-75.97730138713746,-7.878391631252043
9,24, Arganzuela, Legazpi,105,0.0072684480132908765,14446,14296,150,14,2582,3206,-624,60,52,8,60,31,29,5026,1815,3211,176.9146005509642,22.22760625778762,30.580952380952382,PSOE,1736,2840,-1104,-38.87323943661972,-7.642253911117264,725,790,-65,-8.227848101265822,-0.4499515436799114,2669,2273,396,17.421909370875497,2.7412432507268445,844,514,330,64.2023346303502,2.284369375605704,675,2694,-2019,-74.94432071269487,-13.97618717984217
