Municipios;Sexo;Periodo;Total
28 Madrid;Total;2020;6.779.888
28001 Acebeda, La;Total;2020;68
28002 Ajalvir;Total;2020;4.721
28003 Alameda del Valle;Total;2020;204
28004 Álamo, El;Total;2020;9.862
28005 Alcalá de Henares;Total;2020;197.562
28006 Alcobendas;Total;2020;118.417
28007 Alcorcón;Total;2020;172.384
28008 Aldea del Fresno;Total;2020;2.973
28009 Algete;Total;2020;20.864
28010 Alpedrete;Total;2020;14.839
28011 Ambite;Total;2020;609
28012 Anchuelo;Total;2020;1.286
28013 Aranjuez;Total;2020;60.332
28014 Arganda del Rey;Total;2020;56.678
28015 Arroyomolinos;Total;2020;32.935
28016 Atazar, El;Total;2020;90
28017 Batres;Total;2020;1.750
28018 Becerril de la Sierra;Total;2020;5.875
28019 Belmonte de Tajo;Total;2020;1.683
28021 Berrueco, El;Total;2020;777
28020 Berzosa del Lozoya;Total;2020;222
28022 Boadilla del Monte;Total;2020;56.734
28023 Boalo, El;Total;2020;7.663
28024 Braojos;Total;2020;206
28025 Brea de Tajo;Total;2020;506
28026 Brunete;Total;2020;10.760
28027 Buitrago del Lozoya;Total;2020;1.959
28028 Bustarviejo;Total;2020;2.522
28029 Cabanillas de la Sierra;Total;2020;785
28030 Cabrera, La;Total;2020;2.736
28031 Cadalso de los Vidrios;Total;2020;3.047
28032 Camarma de Esteruelas;Total;2020;7.437
28033 Campo Real;Total;2020;6.420
28034 Canencia;Total;2020;447
28035 Carabaña;Total;2020;2.081
28036 Casarrubuelos;Total;2020;3.845
28037 Cenicientos;Total;2020;2.038
28038 Cercedilla;Total;2020;7.205
28039 Cervera de Buitrago;Total;2020;162
28051 Chapinería;Total;2020;2.414
28052 Chinchón;Total;2020;5.413
28040 Ciempozuelos;Total;2020;25.104
28041 Cobeña;Total;2020;7.486
28046 Collado Mediano;Total;2020;7.105
28047 Collado Villalba;Total;2020;64.378
28043 Colmenar de Oreja;Total;2020;8.154
28042 Colmenar del Arroyo;Total;2020;1.785
28045 Colmenar Viejo;Total;2020;51.938
28044 Colmenarejo;Total;2020;9.230
28048 Corpa;Total;2020;723
28049 Coslada;Total;2020;81.391
28050 Cubas de la Sagra;Total;2020;6.539
28053 Daganzo de Arriba;Total;2020;10.337
28054 Escorial, El;Total;2020;16.365
28055 Estremera;Total;2020;1.334
28056 Fresnedillas de la Oliva;Total;2020;1.651
28057 Fresno de Torote;Total;2020;2.299
28058 Fuenlabrada;Total;2020;194.514
28059 Fuente el Saz de Jarama;Total;2020;6.807
28060 Fuentidueña de Tajo;Total;2020;2.136
28061 Galapagar;Total;2020;34.497
28062 Garganta de los Montes;Total;2020;377
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2020;309
28064 Gascones;Total;2020;176
28065 Getafe;Total;2020;185.180
28066 Griñón;Total;2020;10.435
28067 Guadalix de la Sierra;Total;2020;6.440
28068 Guadarrama;Total;2020;16.560
28069 Hiruela, La;Total;2020;65
28070 Horcajo de la Sierra-Aoslos;Total;2020;152
28071 Horcajuelo de la Sierra;Total;2020;89
28072 Hoyo de Manzanares;Total;2020;8.529
